name,palette,source
excel_Blue_Warm,"['#4A66ACFF', '#629DD1FF', '#297FD5FF', '#7F8FA9FF', '#5AA2AEFF', '#9D90A0FF']",ggthemes
excel_Blue,"['#0F6FC6FF', '#009DD9FF', '#0BD0D9FF', '#10CF9BFF', '#7CCA62FF', '#A5C249FF']",ggthemes
excel_Green_Yellow,"['#99CB38FF', '#63A537FF', '#37A76FFF', '#44C1A3FF', '#4EB3CFFF', '#51C3F9FF']",ggthemes
excel_Green,"['#549E39FF', '#8AB833FF', '#C0CF3AFF', '#029676FF', '#4AB5C4FF', '#0989B1FF']",ggthemes
excel_Marquee,"['#418AB3FF', '#A6B727FF', '#F69200FF', '#838383FF', '#FEC306FF', '#DF5327FF']",ggthemes
excel_Median,"['#94B6D2FF', '#DD8047FF', '#A5AB81FF', '#D8B25CFF', '#7BA79DFF', '#968C8CFF']",ggthemes
excel_Office_2007_2010,"['#4F81BDFF', '#C0504DFF', '#9BBB59FF', '#8064A2FF', '#4BACC6FF', '#F79646FF']",ggthemes
excel_Orange_Red,"['#D34817FF', '#9B2D1FFF', '#A28E6AFF', '#956251FF', '#918485FF', '#855D5DFF']",ggthemes
excel_Orange,"['#E48312FF', '#BD582CFF', '#865640FF', '#9B8357FF', '#C2BC80FF', '#94A088FF']",ggthemes
excel_Paper,"['#A5B592FF', '#F3A447FF', '#E7BC29FF', '#D092A7FF', '#9C85C0FF', '#809EC2FF']",ggthemes
excel_Red_Orange,"['#E84C22FF', '#FFBD47FF', '#B64926FF', '#FF8427FF', '#CC9900FF', '#B22600FF']",ggthemes
excel_Red_Violet,"['#E32D91FF', '#C830CCFF', '#4EA6DCFF', '#4775E7FF', '#8971E1FF', '#D54773FF']",ggthemes
excel_Red,"['#A5300FFF', '#D55816FF', '#E19825FF', '#B19C7DFF', '#7F5F52FF', '#B27D49FF']",ggthemes
excel_Slipstream,"['#4E67C8FF', '#5ECCF3FF', '#A7EA52FF', '#5DCEAFFF', '#FF8021FF', '#F14124FF']",ggthemes
excel_Violet_II,"['#92278FFF', '#9B57D3FF', '#755DD9FF', '#665EB8FF', '#45A5EDFF', '#5982DBFF']",ggthemes
excel_Violet,"['#AD84C6FF', '#8784C7FF', '#5D739AFF', '#6997AFFF', '#84ACB6FF', '#6F8183FF']",ggthemes
excel_Yellow_Orange,"['#F0A22EFF', '#A5644EFF', '#B58B80FF', '#C3986DFF', '#A19574FF', '#C17529FF']",ggthemes
excel_Yellow,"['#FFCA08FF', '#F8931DFF', '#CE8D3EFF', '#EC7016FF', '#E64823FF', '#9C6A6AFF']",ggthemes
wsj_colors6,"['#C72E29FF', '#016392FF', '#BE9C2EFF', '#098154FF', '#FB832DFF', '#000000FF']",ggthemes
sky,"['#59595CFF', '#739EABFF', '#2C3639FF', '#36555EFF', '#F99E93FF', '#C43D31FF']",ggthemr
alhambra,"['#DBC197FF', '#372D2FFF', '#5B7CA7FF', '#DB9942FF', '#8DAE87FF', '#985A71FF']",IslamicArt
pale,"['#BBCCEEFF', '#CCEEFFFF', '#CCDDAAFF', '#EEEEBBFF', '#FFCCCCFF', '#DDDDDDFF']",khroma
dark,"['#222255FF', '#225555FF', '#225522FF', '#666633FF', '#663333FF', '#555555FF']",khroma
mediumcontrast,"['#EECC66FF', '#EE99AAFF', '#6699CCFF', '#997700FF', '#994455FF', '#004488FF']",khroma
pal4,"['#202547FF', '#53354AFF', '#7A6C5DFF', '#BE3144FF', '#FF7844FF', '#E3D26FFF']",jcolors
pal5,"['#628395FF', '#C5D86DFF', '#DB2763FF', '#17377AFF', '#FC471EFF', '#55DDE0FF']",jcolors
pal9,"['#273B5BFF', '#C1C243FF', '#E73E26FF', '#2E6657FF', '#E8F5B3FF', '#24A99CFF']",jcolors
PassionFruit,"['#C70E7BFF', '#FC6882FF', '#A6E000FF', '#1BB6AFFF', '#6C6C9DFF', '#172869FF']",LaCroixColoR
Mango,"['#FF5300FF', '#9ED80BFF', '#43B629FF', '#1BB6AFFF', '#8F92A1FF', '#172869FF']",LaCroixColoR
Pure,"['#AFDFEFFF', '#54BCD1FF', '#1BB6AFFF', '#0099D5FF', '#007BC3FF', '#172869FF']",LaCroixColoR
Apricot,"['#D72000FF', '#EE6100FF', '#FFAD0AFF', '#1BB6AFFF', '#9093A2FF', '#132157FF']",LaCroixColoR
CeriseLimon,"['#EE4244FF', '#F8D961FF', '#B6D944FF', '#638E6EFF', '#3C5541FF', '#132157FF']",LaCroixColoR
PinaFraise,"['#F44B4BFF', '#F19743FF', '#F1F1A8FF', '#92D84FFF', '#7473A6FF', '#132157FF']",LaCroixColoR
MelonPomelo,"['#EE404EFF', '#F99D53FF', '#F9E7C2FF', '#24C852FF', '#4F5791FF', '#132157FF']",LaCroixColoR
MurePepino,"['#D64358FF', '#EAFB88FF', '#3C8C4DFF', '#DFCEE0FF', '#4F5791FF', '#132157FF']",LaCroixColoR
expevo,"['#FC4E07FF', '#E7B800FF', '#00AFBBFF', '#8B4769FF', '#1D457FFF', '#808080FF']",ltc
minou,"['#00798CFF', '#D1495BFF', '#EDAE49FF', '#66A182FF', '#2E4057FF', '#8D96A3FF']",ltc
Gauguin,"['#B04948FF', '#811E18FF', '#9E4013FF', '#C88A2CFF', '#4C6216FF', '#1A472AFF']",MetBrewer
Hokusai2,"['#ABC9C8FF', '#72AEB6FF', '#4692B0FF', '#2F70A1FF', '#134B73FF', '#0A3351FF']",MetBrewer
Hokusai3,"['#D8D97AFF', '#95C36EFF', '#74C8C3FF', '#5A97C1FF', '#295384FF', '#0A2E57FF']",MetBrewer
Homer2,"['#BF3626FF', '#E9851DFF', '#F9C53BFF', '#AEAC4CFF', '#788F33FF', '#165D43FF']",MetBrewer
Juarez,"['#A82203FF', '#208CC0FF', '#F1AF3AFF', '#CF5E4EFF', '#637B31FF', '#003967FF']",MetBrewer
Klimt,"['#DF9ED4FF', '#C93F55FF', '#EACC62FF', '#469D76FF', '#3C4B99FF', '#924099FF']",MetBrewer
Lakota,"['#04A3BDFF', '#F0BE3DFF', '#931E18FF', '#DA7901FF', '#247D3FFF', '#20235BFF']",MetBrewer
Peru1,"['#B5361CFF', '#E35E28FF', '#1C9D7CFF', '#31C7BAFF', '#369CC9FF', '#3A507FFF']",MetBrewer
Peru2,"['#65150BFF', '#961F1FFF', '#C0431FFF', '#F19425FF', '#C59349FF', '#533D14FF']",MetBrewer
Pillement,"['#A9845BFF', '#697852FF', '#738E8EFF', '#44636FFF', '#2B4655FF', '#0F252FFF']",MetBrewer
Bmlunge,"['#D6EBECFF', '#7AD8DFFF', '#51D2DAFF', '#34AAB6FF', '#3D7688FF', '#306F83FF']",musculusColors
Bmsurface,"['#F0F2F8FF', '#D2DCF0FF', '#A0B7D8FF', '#7696BEFF', '#606A81FF', '#384157FF']",musculusColors
SmokyMountains,"['#D58A60FF', '#40663FFF', '#497381FF', '#548F01FF', '#CFA3EEFF', '#4E5462FF']",nationalparkcolors
Yellowstone,"['#8CBEB1FF', '#FAFAF2FF', '#EEEAA0FF', '#999275FF', '#E8C533FF', '#3A5836FF']",nationalparkcolors
Arches,"['#A8CDECFF', '#F6955EFF', '#682C37FF', '#9B6981FF', '#7887A4FF', '#A89F8EFF']",nationalparkcolors
ArcticGates,"['#F4E7C5FF', '#678096FF', '#ACC2CFFF', '#979461FF', '#CD5733FF', '#A12A19FF']",nationalparkcolors
MtMckinley,"['#D5AE63FF', '#6E6C81FF', '#F7ECD8FF', '#3F3939FF', '#93AD90FF', '#C9B793FF']",nationalparkcolors
Saguaro,"['#847CA3FF', '#E45A5AFF', '#F4A65EFF', '#80792BFF', '#F2D56FFF', '#1A1237FF']",nationalparkcolors
BlueRidgePkwy,"['#EC8FA3FF', '#FCBA65FF', '#FAECCFFF', '#8D7F99FF', '#8C9D57FF', '#163343FF']",nationalparkcolors
GreatBasin,"['#6BBAE5FF', '#E3EEF4FF', '#454B68FF', '#F9F5EAFF', '#81974CFF', '#553F31FF']",nationalparkcolors
ChannelIslands,"['#F5D2E6FF', '#554C6CFF', '#EB8D43FF', '#70646EFF', '#7397CBFF', '#CEA347FF']",nationalparkcolors
Acadia,"['#FED789FF', '#023743FF', '#72874EFF', '#476F84FF', '#A4BED5FF', '#453947FF']",nationalparkcolors
DeathValley,"['#B23539FF', '#FAB57CFF', '#F7E790FF', '#73652DFF', '#E79498FF', '#514289FF']",nationalparkcolors
CapitolReef,"['#291919FF', '#532A34FF', '#7C5467FF', '#878195FF', '#AEB2B7FF', '#D4D9DDFF']",NatParksPalettes
Charmonix,"['#008FF8FF', '#B6AA0DFF', '#E2C2A2FF', '#E23B0EFF', '#F2C621FF', '#196689FF']",NatParksPalettes
Cuyahoga,"['#E07529FF', '#FAAE32FF', '#7F7991FF', '#A84A00FF', '#5D4F36FF', '#B39085FF']",NatParksPalettes
Denali,"['#20223EFF', '#3F3F7BFF', '#278192FF', '#00B089FF', '#2EEA8CFF', '#8FF7BDFF']",NatParksPalettes
Everglades,"['#345023FF', '#596C0BFF', '#83A102FF', '#003B68FF', '#426F86FF', '#7A712FFF']",NatParksPalettes
IguazuFalls,"['#415521FF', '#97AD3DFF', '#4C3425FF', '#7F6552FF', '#5A8093FF', '#9FBAD3FF']",NatParksPalettes
KingsCanyon,"['#613921FF', '#A77652FF', '#F2C27BFF', '#AAC9EDFF', '#44637DFF', '#8E949FFF']",NatParksPalettes
LakeNakuru,"['#D76E9AFF', '#A1ACC8FF', '#AD3C36FF', '#332627FF', '#EACACFFF', '#AA6B77FF']",NatParksPalettes
Redwood,"['#5E3B49FF', '#9B5F6BFF', '#BA817DFF', '#325731FF', '#6A9741FF', '#5F4E2FFF']",NatParksPalettes
Saguaro,"['#127088FF', '#C85729FF', '#92874BFF', '#CD8A39FF', '#AC3414FF', '#57643CFF']",NatParksPalettes
SouthDowns,"['#948D2AFF', '#D5B44DFF', '#89A4BFFF', '#F1D6B6FF', '#9B8358FF', '#577291FF']",NatParksPalettes
Triglav,"['#386EC2FF', '#B5B5B2FF', '#990006FF', '#625D0AFF', '#B9741FFF', '#213958FF']",NatParksPalettes
Yellowstone,"['#0067A2FF', '#DFCB91FF', '#CB7223FF', '#289A84FF', '#7FA4C2FF', '#AF7E56FF']",NatParksPalettes
Yosemite,"['#293633FF', '#3D5051FF', '#6B7F7FFF', '#87A1C7FF', '#516B95FF', '#304F7DFF']",NatParksPalettes
bucks_earned,"['#7AC043FF', '#00713DFF', '#014711FF', '#CB0423FF', '#D7D7D7FF', '#FFFFFFFF']",nbapalettes
bucks_city2,"['#FFC72CFF', '#FFA400FF', '#DA291CFF', '#6CC24AFF', '#2C5234FF', '#0057B7FF']",nbapalettes
hornets_classic,"['#280071FF', '#0032A0FF', '#00778BFF', '#6CACE4FF', '#F9423AFF', '#010101FF']",nbapalettes
hornets_believe,"['#211747FF', '#004F71FF', '#59C7EBFF', '#99D6EAFF', '#0082BAFF', '#FFC72CFF']",nbapalettes
suns_00s,"['#582C83FF', '#CB6015FF', '#FFA400FF', '#A6192EFF', '#5B6770FF', '#010101FF']",nbapalettes
thunder_city,"['#25282AFF', '#545859FF', '#9EA2A2FF', '#FFB81CFF', '#F9423AFF', '#0072CEFF']",nbapalettes
timberwolves_00s,"['#236192FF', '#009739FF', '#FFD700FF', '#C8102EFF', '#8D9093FF', '#010101FF']",nbapalettes
timberwolves_classic,"['#010101FF', '#8D9093FF', '#236192FF', '#00843DFF', '#FFD700FF', '#C8102EFF']",nbapalettes
cobra,"['#EF342CFF', '#E85569FF', '#111013FF', '#CB302CFF', '#5C2C2DFF', '#3E509AFF']",NineteenEightyR
lake_superior,"['#7D4B19FF', '#C89664FF', '#C87D4BFF', '#4B647DFF', '#324B64FF', '#19324BFF']",nord
rocky_mountain,"['#BEBEBEFF', '#C8C8C8FF', '#DCD2C8FF', '#D2C8C8FF', '#BEBEC8FF', '#B4B4BEFF']",nord
olsen_qual,"['#C47000FF', '#E0C48CFF', '#8C3800FF', '#E0A81CFF', '#8CA8C4FF', '#385438FF']",ochRe
lorikeet,"['#486030FF', '#C03018FF', '#F0A800FF', '#484878FF', '#A8C018FF', '#609048FF']",ochRe
dead_reef,"['#D2E1DEFF', '#548495FF', '#3C4347FF', '#758388FF', '#DBE9E2FF', '#8E9796FF']",ochRe
geodude,"['#707830FF', '#A8B060FF', '#404810FF', '#C8D080FF', '#F8F8F8FF', '#C8C8C8FF']",palettetown
graveler,"['#788030FF', '#A8B060FF', '#504810FF', '#C8D080FF', '#F8F8F8FF', '#C8C8C8FF']",palettetown
onix,"['#807878FF', '#B8B0B0FF', '#D8D0D0FF', '#504848FF', '#F0E8E8FF', '#F8F8F8FF']",palettetown
ditto,"['#E898D0FF', '#D070A0FF', '#B05080FF', '#303030FF', '#702858FF', '#F0C0E8FF']",palettetown
mew,"['#F8C0C8FF', '#F88078FF', '#B02030FF', '#D04850FF', '#282828FF', '#F0D0E0FF']",palettetown
teamrocket,"['#F8D000FF', '#E86850FF', '#98D048FF', '#684000FF', '#B870A0FF', '#A02000FF']",palettetown
starterspairs,"['#209058FF', '#58C890FF', '#903000FF', '#F89040FF', '#484880FF', '#68A8E0FF']",palettetown
startersDark,"['#488820FF', '#207890FF', '#7868C0FF', '#C03000FF', '#F09008FF', '#686868FF']",palettetown
Hell,"['#9BAAAFFF', '#11304FFF', '#989B6CFF', '#3F4738FF', '#195972FF', '#4D251DFF']",severance
HideAndSeek,"['#405B76FF', '#E6F0F1FF', '#694F42FF', '#1F334BFF', '#9B4D40FF', '#171F22FF']",severance
Jazz02,"['#6B8C81FF', '#0E171EFF', '#BD9A5AFF', '#3E2423FF', '#8797A7FF', '#393F3BFF']",severance
Hoiho,"['#CABEE9FF', '#7C7189FF', '#FAE093FF', '#D04E59FF', '#BC8E7DFF', '#2F3D70FF']",Manu
Kakapo,"['#7D9D33FF', '#CED38CFF', '#DCC949FF', '#BCA888FF', '#CD8862FF', '#775B24FF']",Manu
Kereru,"['#325756FF', '#7D9FC2FF', '#C582B2FF', '#51806AFF', '#4D5F8EFF', '#A092B7FF']",Manu
Korimako,"['#757B16FF', '#4F651DFF', '#798C8BFF', '#2F638FFF', '#091A26FF', '#490B0AFF']",Manu
Kotare,"['#214D65FF', '#287DABFF', '#E5BF86FF', '#B09771FF', '#624B27FF', '#CACFD0FF']",Manu
Putangitangi,"['#AA988AFF', '#B66A40FF', '#2F414BFF', '#2B4B3CFF', '#7A3520FF', '#7B8BA5FF']",Manu
Titipounamu,"['#3E4331FF', '#AD6B17FF', '#66743BFF', '#D0C471FF', '#CCB62FFF', '#BAC4C2FF']",Manu
Tui,"['#7ACCD7FF', '#115896FF', '#7C6C65FF', '#4C4C53FF', '#BA2F00FF', '#21282FFF']",Manu
Pohutukawa,"['#5FA1F7FF', '#83A552FF', '#3D4928FF', '#9B1F1AFF', '#B19F8EFF', '#4E0B0CFF']",Manu
Kiwi,"['#3E2926FF', '#634C54FF', '#8B7162FF', '#A9A196FF', '#CFAE9FFF', '#D3BAC0FF']",Manu
Clay,"['#C48329FF', '#8B3B36FF', '#A2B4B7FF', '#514A2EFF', '#CF9860FF', '#8E4115FF']",MoMAColors
Liu,"['#9FD7BDFF', '#9B5C1CFF', '#97C124FF', '#3B5F13FF', '#DDB25DFF', '#5C4A32FF']",MoMAColors
OKeeffe,"['#F3D567FF', '#EE9B43FF', '#E74B47FF', '#B80422FF', '#172767FF', '#19798BFF']",MoMAColors
Picasso,"['#D5968CFF', '#C2676DFF', '#5C363AFF', '#995041FF', '#45939CFF', '#0F6A81FF']",MoMAColors
ustwo,"['#D7433BFF', '#F06A63FF', '#FF8E5EFF', '#FFCC3DFF', '#95CAA6FF', '#008D98FF']",MoMAColors
Cascades,"['#2D4030FF', '#516823FF', '#DEC000FF', '#E2E260FF', '#677E8EFF', '#88A2B9FF']",PNWColors
Sailboat,"['#6E7CB9FF', '#7BBCD5FF', '#D0E2AFFF', '#F5DB99FF', '#E89C81FF', '#D2848DFF']",PNWColors
Neon,"['#FF9062FF', '#FD6598FF', '#CB64C0FF', '#3294DDFF', '#75FB8AFF', '#D0EB60FF']",PrettyCols
M_M,"['#8B4C39FF', '#EE0000FF', '#1874CDFF', '#FF7F00FF', '#00EE00FF', '#FFFF00FF']",RSkittleBrewer
taylorSwift,"['#61B6CCFF', '#577F3FFF', '#E3E9F3FF', '#0A1605FF', '#FDDAC7FF', '#81A757FF']",tayloRswift
taylor1989,"['#B1532AFF', '#84697FFF', '#CBB593FF', '#A88F92FF', '#E8EADFFF', '#43475BFF']",tayloRswift
reputation,"['#060606FF', '#6E6E6EFF', '#FEFEFEFF', '#CACACAFF', '#060606FF', '#8C8C8CFF']",tayloRswift
lover,"['#B8396BFF', '#FFD1D7FF', '#FFF5CCFF', '#76BAE0FF', '#B28F81FF', '#54483EFF']",tayloRswift
midnightsJadeGreen,"['#E8E7E3FF', '#CE986BFF', '#2F3C30FF', '#0B0B08FF', '#B98645FF', '#8D8C7AFF']",tayloRswift
bajoran,"['#C00000FF', '#7A6424FF', '#323C34FF', '#4838A8FF', '#E6D56EFF', '#A8B5A9FF']",trekcolors
lcars_nx01,"['#BDEFFFFF', '#009CCEFF', '#DEFFB5FF', '#CD6363FF', '#E7FFFFFF', '#4D6184FF']",trekcolors
starfleet2,"['#5B1414FF', '#AD722CFF', '#1A6384FF', '#2C6B70FF', '#483A4AFF', '#000000FF']",trekcolors
red_alert,"['#670000FF', '#990000FF', '#CD0000FF', '#FE0000FF', '#FF9190FF', '#4D4D4DFF']",trekcolors
yellow_alert,"['#674305FF', '#986509FF', '#CD870EFF', '#FFA90EFF', '#FFDA67FF', '#4D4D4DFF']",trekcolors
Lannister,"['#89080AFF', '#C5AA73FF', '#FEDF25FF', '#C24841FF', '#8B5B45FF', '#000000FF']",tvthemes
Tully,"['#212250FF', '#AE432FFF', '#E4EDCAFF', '#8B5B45FF', '#4682B4FF', '#000000FF']",tvthemes
Greyjoy,"['#000000FF', '#708090FF', '#D4CDB1FF', '#DCDCDCFF', '#F7DC27FF', '#808080FF']",tvthemes
Amethyst,"['#C0AED9FF', '#3C3B6CFF', '#AE56DEFF', '#94A4ACFF', '#8C37E5FF', '#000000FF']",tvthemes
Pearl,"['#F6B6C2FF', '#A6A0F2FF', '#FBE7B8FF', '#6DEDDDFF', '#3E6992FF', '#FCD47CFF']",tvthemes
Jasper,"['#2E0F16FF', '#A32A2FFF', '#EB9352FF', '#F8E3DBFF', '#91837DFF', '#37947EFF']",tvthemes
Topaz,"['#F5E848FF', '#732C05FF', '#DB870CFF', '#290404FF', '#909090FF', '#FFFFFFFF']",tvthemes
Spinel,"['#C92D7EFF', '#3C1A2DFF', '#E7A6CDFF', '#94043AFF', '#E0BED3FF', '#FFFFFFFF']",tvthemes
Ruby,"['#D81E4AFF', '#332027FF', '#751048FF', '#000000FF', '#F8DB73FF', '#F4826AFF']",tvthemes
Padparadscha,"['#FCB881FF', '#FB4B4BFF', '#FC6444FF', '#FC6C6CFF', '#D48C5CFF', '#060505FF']",tvthemes
Sugilite,"['#BB55E1FF', '#16041FFF', '#7E34D4FF', '#54157BFF', '#CCCCFAFF', '#839FE2FF']",tvthemes
SmokyQuartz,"['#8B7182FF', '#665E85FF', '#1B6E9CFF', '#F95B70FF', '#FFE43FFF', '#9FA4CFFF']",tvthemes
mallsoft,"['#FBCFF3FF', '#F7C0BBFF', '#ACD0F4FF', '#8690FFFF', '#30BFDDFF', '#7FD4C1FF']",vapeplot
macplus,"['#1B4247FF', '#09979BFF', '#75D8D5FF', '#FFC0CBFF', '#FE7F9DFF', '#65323EFF']",vapeplot
mallSoft,"['#7FD4C1FF', '#30BFDDFF', '#8690FFFF', '#ACD0F4FF', '#F7C0BBFF', '#FBCFF3FF']",vapoRwave
marilyn_orange_62,"['#B22B37FF', '#E4862BFF', '#F0CC06FF', '#ABC7D4FF', '#379DA1FF', '#638CC2FF']",waRhol
marilyn_green_62,"['#3EBF9CFF', '#05BEBAFF', '#92C4DCFF', '#D8ACCBFF', '#F7CE06FF', '#C92724FF']",waRhol
basquiat_85,"['#B5712EFF', '#CA0106FF', '#EFAA4DFF', '#7BAFD9FF', '#F8968CFF', '#E1D7CFFF']",waRhol
small_world,"['#00A2CEFF', '#B3331DFF', '#B6A756FF', '#122753FF', '#B86117FF', '#4D430CFF']",werpals
alice,"['#827ABFFF', '#F62150FF', '#6F89B6FF', '#F5E0B7FF', '#5B1E37FF', '#B9E3C5FF']",werpals
pan,"['#27552DFF', '#E46538FF', '#96BB77FF', '#E5E36EFF', '#E6A19FFF', '#159EB7FF']",werpals
when_i_was_your_age,"['#3B4274FF', '#D2130AFF', '#C8A88AFF', '#857D7BFF', '#592E2AFF', '#E39587FF']",werpals
IsleofDogs1,"['#9986A5FF', '#79402EFF', '#CCBA72FF', '#0F0D0EFF', '#D9D0D3FF', '#8D8680FF']",wesanderson
AsteroidCity2,"['#C52E19FF', '#AC9765FF', '#54D8B1FF', '#B67C3BFF', '#175149FF', '#AF4E24FF']",wesanderson
decision,"['#D57A6DFF', '#E8B762FF', '#9CCDDFFF', '#525052FF', '#E6CEAFFF', '#BA9570FF']",yarrr
southpark,"['#2F86FFFF', '#EBAB16FF', '#DE0012FF', '#22C408FF', '#FECDAAFF', '#F14809FF']",yarrr
evildead,"['#19180DFF', '#212510FF', '#2E100BFF', '#392E12FF', '#57512BFF', '#968E4CFF']",yarrr
appletv,"['#5FB233FF', '#6A7F93FF', '#F57206FF', '#EB0F13FF', '#8F2F8BFF', '#1396DBFF']",yarrr
X108,"['#02307DFF', '#0355B8FF', '#84C5FFFF', '#83C5FFFF', '#856A7BFF', '#836B7BFF', '#B79498FF']",beyonce
X119,"['#000000FF', '#2E1A13FF', '#2D1A13FF', '#40281EFF', '#40281CFF', '#7E3D29FF', '#D29E3BFF']",beyonce
X125,"['#1C193AFF', '#351520FF', '#608587FF', '#77B2ACFF', '#ABD4C6FF', '#9D8072FF', '#3B324BFF']",beyonce
uluru,"['#543813FF', '#E4733BFF', '#D9842AFF', '#DAB77FFF', '#CFE0D8FF', '#9CC3E0FF', '#5981BCFF']",colRoz
k_tristis,"['#3D76A3FF', '#5EADBEFF', '#5EA176FF', '#A76123FF', '#7A4018FF', '#B48D48FF', '#767D76FF']",colRoz
c_brevi,"['#800824FF', '#9A1609FF', '#C4603CFF', '#B53E78FF', '#6090D2FF', '#DC9722FF', '#DCB78BFF']",colRoz
anatomy,"['#B2AAA2FF', '#0D0B0CFF', '#B47562FF', '#332826FF', '#B18147FF', '#803B31FF', '#CBC2C3FF']",dutchmasters
staalmeesters,"['#A13826FF', '#701B06FF', '#4C3114FF', '#7A491EFF', '#D7E1D6FF', '#060A0DFF', '#D39C7BFF']",dutchmasters
plains_wanderer,"['#EDD8C5FF', '#D09A5EFF', '#E7AA01FF', '#AC570FFF', '#73481BFF', '#442C0EFF', '#0D0403FF']",feathers
bee_eater,"['#00346EFF', '#007CBFFF', '#06ABDFFF', '#EDD03EFF', '#F5A200FF', '#6D8600FF', '#424D0CFF']",feathers
eastern_rosella,"['#CD3122FF', '#F4C623FF', '#BEE183FF', '#6C905EFF', '#2F533CFF', '#B8C9DCFF', '#2F7AB9FF']",feathers
yellow_robin,"['#E19E00FF', '#FBEB5BFF', '#85773AFF', '#979EB9FF', '#727B98FF', '#454B56FF', '#201B1EFF']",feathers
earth,"['#3B4B42FF', '#75AC42FF', '#B0D9CBFF', '#FFFFFEFF', '#FCF063FF', '#935932FF', '#642E2AFF']",futurevisions
kepler16b,"['#FEFEFEFF', '#FFEFA9FF', '#FAAC51FF', '#6A5188FF', '#C77998FF', '#A24745FF', '#462F2FFF']",futurevisions
grand_tour,"['#418D87FF', '#2B5E3DFF', '#73224EFF', '#AD2E37FF', '#E37D41FF', '#E9A144FF', '#F6EBD1FF']",futurevisions
default_jama,"['#374E55FF', '#DF8F44FF', '#00A1D5FF', '#B24745FF', '#79AF97FF', '#6A6599FF', '#80796BFF']",ggsci
default_locuszoom,"['#D43F3AFF', '#EEA236FF', '#5CB85CFF', '#46B8DAFF', '#357EBDFF', '#9632B8FF', '#B8B8B8FF']",ggsci
uniform_startrek,"['#CC0C00FF', '#5C88DAFF', '#84BD00FF', '#FFCD00FF', '#7C878EFF', '#00B5E2FF', '#00AF66FF']",ggsci
legacy_tron,"['#FF410DFF', '#6EE2FFFF', '#F7C530FF', '#95CC5EFF', '#D0DFE6FF', '#F79D1EFF', '#748AA6FF']",ggsci
pomological_base,"['#FFFEEAFF', '#F8EED1FF', '#EFE1C6FF', '#A89985FF', '#6B452BFF', '#3A3E3FFF', '#2B323FFF']",ggpomological
chalk,"['#FFFFFFFF', '#C2C5BEFF', '#D4DADAFF', '#111111FF', '#6D8875FF', '#EAEAEAFF', '#908A78FF']",ggthemr
solarized,"['#073642FF', '#268BD2FF', '#DC322FFF', '#2AA198FF', '#B58900FF', '#6C71C4FF', '#D33682FF']",ggthemr
grass,"['#4A3D4FFF', '#CEF3C6FF', '#DED42FFF', '#B45454FF', '#3E6735FF', '#BE1D2DFF', '#57826FFF']",ggthemr
camouflage,"['#F4F4A9FF', '#6D9A58FF', '#E5CA28FF', '#4E4E36FF', '#F6F6F6FF', '#C8CC9FFF', '#353525FF']",ggthemr
MarnieLight1,"['#95918EFF', '#AF9699FF', '#80C7C9FF', '#8EBBD2FF', '#E3D1C3FF', '#B3DDEBFF', '#F3E8CCFF']",ghibli
MarnieMedium1,"['#28231DFF', '#5E2D30FF', '#008E90FF', '#1C77A3FF', '#C5A387FF', '#67B8D6FF', '#E9D097FF']",ghibli
MarnieDark1,"['#15110EFF', '#2F1619FF', '#004749FF', '#0E3B52FF', '#635143FF', '#335D6BFF', '#73684CFF']",ghibli
MarnieLight2,"['#8E938DFF', '#94A39CFF', '#97B8AFFF', '#A2D1BDFF', '#C0CDBCFF', '#ACD2A3FF', '#E6E58BFF']",ghibli
MarnieMedium2,"['#1D271CFF', '#274637FF', '#2C715FFF', '#44A57CFF', '#819A7AFF', '#58A449FF', '#CEC917FF']",ghibli
MarnieDark2,"['#0E130DFF', '#14231CFF', '#17382FFF', '#22513DFF', '#404D3CFF', '#2C5223FF', '#66650BFF']",ghibli
PonyoLight,"['#A6A0A0FF', '#ADB7C0FF', '#94C5CCFF', '#F4ADB3FF', '#EEBCB1FF', '#ECD89DFF', '#F4E3D3FF']",ghibli
PonyoMedium,"['#4C413FFF', '#5A6F80FF', '#278B9AFF', '#E75B64FF', '#DE7862FF', '#D8AF39FF', '#E8C4A2FF']",ghibli
PonyoDark,"['#262020FF', '#2D3740FF', '#14454CFF', '#742D33FF', '#6E3C31FF', '#6C581DFF', '#746353FF']",ghibli
LaputaLight,"['#898D90FF', '#8D93A1FF', '#9F99B5FF', '#AFACC9FF', '#D7CADEFF', '#DAEDF3FF', '#F7EABDFF']",ghibli
LaputaMedium,"['#14191FFF', '#1D2645FF', '#403369FF', '#5C5992FF', '#AE93BEFF', '#B4DAE5FF', '#F0D77BFF']",ghibli
LaputaDark,"['#090D10FF', '#0D1321FF', '#1F1935FF', '#2F2C49FF', '#574A5EFF', '#5A6D73FF', '#776A3DFF']",ghibli
MononokeLight,"['#838A90FF', '#BA968AFF', '#9FA7BEFF', '#B3B8B1FF', '#E7A79BFF', '#F2C695FF', '#F5EDC9FF']",ghibli
MononokeMedium,"['#06141FFF', '#742C14FF', '#3D4F7DFF', '#657060FF', '#CD4F38FF', '#E48C2AFF', '#EAD890FF']",ghibli
MononokeDark,"['#030A10FF', '#3A160AFF', '#1F273EFF', '#333831FF', '#67271BFF', '#724615FF', '#756D49FF']",ghibli
SpiritedLight,"['#8F9297FF', '#9A9C97FF', '#C19A9BFF', '#C7C0C8FF', '#B4DCF5FF', '#E1D7CBFF', '#DBEBF8FF']",ghibli
