name,palette,source
BuRd,"['#2166ACFF', '#4393C3FF', '#92C5DEFF', '#D1E5F0FF', '#F7F7F7FF', '#FDDBC7FF', '#F4A582FF', '#D6604DFF', '#B2182BFF']",khroma
PRGn,"['#762A83FF', '#9970ABFF', '#C2A5CFFF', '#E7D4E8FF', '#F7F7F7FF', '#D9F0D3FF', '#ACD39EFF', '#5AAE61FF', '#1B7837FF']",khroma
PurpleGreens,"['#420F75FF', '#7640A9FF', '#AD72D6FF', '#E7A8FBFF', '#F5F5F5FF', '#99CE64FF', '#659A32FF', '#326812FF', '#033800FF']",PrettyCols
PinkGreens,"['#7F0038FF', '#C31E6EFF', '#EF5FAFFF', '#FCAADEFF', '#F5F5F5FF', '#99CE64FF', '#659A32FF', '#326812FF', '#033800FF']",PrettyCols
TangerineBlues,"['#552000FF', '#8A4D00FF', '#C17D17FF', '#F8B150FF', '#F5F5F5FF', '#93C6E1FF', '#5F93ACFF', '#2E627AFF', '#00344AFF']",PrettyCols
PurpleTangerines,"['#420F75FF', '#7640A9FF', '#AD72D6FF', '#E7A8FBFF', '#F5F5F5FF', '#F8B150FF', '#C17D17FF', '#8A4D00FF', '#552000FF']",PrettyCols
PurplePinks,"['#420F75FF', '#7640A9FF', '#AD72D6FF', '#E7A8FBFF', '#F5F5F5FF', '#FCAADEFF', '#EF5FAFFF', '#C31E6EFF', '#7F0038FF']",PrettyCols
TealGreens,"['#00393AFF', '#0A6969FF', '#2D9C9CFF', '#6DCFCFFF', '#F5F5F5FF', '#99CE64FF', '#659A32FF', '#326812FF', '#033800FF']",PrettyCols
PurpleYellows,"['#420F75FF', '#7640A9FF', '#AD72D6FF', '#E7A8FBFF', '#F5F5F5FF', '#F2E8C4FF', '#EED682FF', '#EAC541FF', '#E6B400FF']",PrettyCols
RedBlues,"['#B53737FF', '#C66969FF', '#D79C9CFF', '#E8CFCFFF', '#F5F5F5FF', '#93C6E1FF', '#5F93ACFF', '#2E627AFF', '#00344AFF']",PrettyCols
ferengi,"['#00740EFF', '#399043FF', '#72AC79FF', '#ABC8AEFF', '#E4E4E4FF', '#DDC5B7FF', '#D6A78BFF', '#CF895EFF', '#C86B32FF']",trekcolors
romulan,"['#1DF964FF', '#15BA4BFF', '#0E7C32FF', '#073E18FF', '#000000FF', '#10263FFF', '#214D7EFF', '#3173BDFF', '#429AFCFF']",trekcolors
romulan2,"['#80F2B3FF', '#6DC393FF', '#5B9374FF', '#486555FF', '#363636FF', '#346062FF', '#338B90FF', '#31B6BCFF', '#30E1EAFF']",trekcolors
tholian,"['#5E0000FF', '#A73933FF', '#F07266FF', '#E8A9A3FF', '#E1E1E1FF', '#D9D3BEFF', '#D2C69CFF', '#B5A052FF', '#9A7B08FF']",trekcolors
Blue2Orange10Steps,"['#0054FFFF', '#3299FFFF', '#65CCFFFF', '#99EDFFFF', '#CCFFFFFF', '#FFFFCCFF', '#FFEE99FF', '#FFCC65FF', '#FF9932FF', '#FF5500FF']",colorBlindness
Brown2Blue10Steps,"['#662F00FF', '#996035FF', '#CC9B7AFF', '#D8AF97FF', '#F2DACDFF', '#CCFDFFFF', '#99F8FFFF', '#65EFFFFF', '#32E3FFFF', '#00A9CCFF']",colorBlindness
BrowntoBlue_10,"['#663000FF', '#996136FF', '#CC9B7AFF', '#D9AF98FF', '#F2DACEFF', '#CCFDFFFF', '#99F8FFFF', '#66F0FFFF', '#33E4FFFF', '#00AACCFF']",dichromat
BluetoOrange_10,"['#0055FFFF', '#3399FFFF', '#66CCFFFF', '#99EEFFFF', '#CCFFFFFF', '#FFFFCCFF', '#FFEE99FF', '#FFCC66FF', '#FF9933FF', '#FF5500FF']",dichromat
