name,palette,source,kind,paletteer-kind
Gold,"['#000000FF', '#808080FF', '#FFFFFFFF', '#FCFC80FF', '#FCF87CFF', '#FCF478FF', '#F8F478FF', '#F8F074FF', '#F8F070FF', '#F8EC70FF', '#F4EC6CFF', '#F4E86CFF', '#F4E868FF', '#F4E468FF', '#F0E464FF', '#F0E060FF', '#F0DC5CFF', '#ECDC5CFF', '#ECD858FF', '#ECD854FF', '#ECD454FF', '#ECD450FF', '#E8D050FF', '#E8D04CFF', '#E8CC4CFF', '#E8CC48FF', '#E4C844FF', '#E4C440FF', '#E0C03CFF', '#E0C038FF', '#E0BC38FF', '#E0BC34FF', '#DCB834FF', '#DCB830FF', '#DCB430FF', '#DCB42CFF', '#DCB028FF', '#D8B028FF', '#D8AC24FF', '#D8A820FF', '#D4A81CFF', '#D4A41CFF', '#D4A418FF', '#D4A018FF', '#D0A014FF', '#D09C14FF', '#D09C10FF', '#D0980CFF', '#CC980CFF', '#CC9408FF', '#CC9004FF', '#C88C00FF', '#C48800FF', '#C08400FF', '#BC8000FF', '#B87C00FF', '#B47800FF', '#B07400FF', '#AC7000FF', '#A86C00FF', '#A46800FF', '#A06400FF', '#9C6000FF', '#985C00FF', '#945800FF', '#905400FF', '#8C5000FF', '#884C00FF', '#844800FF', '#804400FF', '#7C4000FF', '#783C00FF', '#743800FF', '#703400FF', '#6C3000FF', '#682C00FF', '#642800FF', '#602400FF', '#5C2000FF', '#581C00FF', '#541800FF', '#501400FF', '#4C1000FF', '#480C00FF', '#440800FF', '#400400FF', '#3C0000FF', '#380000FF', '#340000FF', '#300000FF', '#2C0000FF', '#280000FF', '#240000FF', '#200000FF', '#1C0000FF', '#180000FF', '#140000FF', '#100000FF', '#0C0000FF', '#080000FF', '#040000FF', '#000000FF']",The R package: {palettesForR},sequential,discrete-sequential
Gold-Purple Diverging,"['#AD9024FF', '#AE9125FF', '#AF9227FF', '#B19328FF', '#B2952AFF', '#B3962BFF', '#B4972DFF', '#B5982EFF', '#B7992FFF', '#B89A31FF', '#B99B32FF', '#BA9D34FF', '#BC9E35FF', '#BD9F36FF', '#BEA038FF', '#BFA139FF', '#C0A23AFF', '#C2A43CFF', '#C3A53EFF', '#C4A641FF', '#C5A843FF', '#C6A945FF', '#C7AA47FF', '#C9AC49FF', '#CAAD4BFF', '#CBAE4DFF', '#CCB04FFF', '#CDB152FF', '#CEB254FF', '#CFB456FF', '#D1B558FF', '#D2B65AFF', '#D3B85CFF', '#D4B95EFF', '#D5BB65FF', '#D7BD6CFF', '#D8BE73FF', '#D9C07AFF', '#DAC281FF', '#DCC488FF', '#DDC68EFF', '#DEC895FF', '#DFCA9CFF', '#DFCBA3FF', '#E0CDAAFF', '#E1CFB0FF', '#E1D1B7FF', '#E2D3BEFF', '#E2D5C5FF', '#E3D7CCFF', '#E3D6CFFF', '#E2D3CEFF', '#E1D0CDFF', '#E0CDCDFF', '#DFCACCFF', '#DEC6CBFF', '#DEC3CAFF', '#DDC0CAFF', '#DCBDC9FF', '#DBBAC8FF', '#DAB6C7FF', '#D9B3C7FF', '#D8B0C6FF', '#D7ADC5FF', '#D6A9C5FF', '#D5A6C4FF', '#D4A3C3FF', '#D3A1C2FF', '#D2A0C1FF', '#D19EC0FF', '#CF9DBEFF', '#CE9BBDFF', '#CD99BCFF', '#CC98BBFF', '#CB96BAFF', '#CA95B9FF', '#C893B7FF', '#C792B6FF', '#C690B5FF', '#C58EB4FF', '#C48DB3FF', '#C38BB2FF', '#C28AB1FF', '#C088AFFF', '#BF87AEFF', '#BE85ACFF', '#BD84ABFF', '#BB83AAFF', '#BA81A8FF', '#B980A7FF', '#B77EA5FF', '#B67DA4FF', '#B57CA3FF', '#B47AA1FF', '#B279A0FF', '#B1789FFF', '#B0769DFF', '#AF759CFF', '#AD739AFF', '#AC7299FF']",The R package: {ggthemes},diverging-1,discrete-diverging
Gomphosus_varius,"['#6D62AFFF', '#163885FF', '#41DEFFFF', '#A9FC21FF', '#107E68FF']",The R package: {fishualize},qualitative,discrete-qualitative
Gramma_brasiliensis,"['#D94AB3FF', '#8404D9FF', '#6503A6FF', '#F27405FF', '#0D0D0DFF']",The R package: {fishualize},qualitative,discrete-qualitative
Gramma_loreto,"['#020122FF', '#492AD7FF', '#A511DFFF', '#E3386AFF', '#F0BF0BFF']",The R package: {fishualize},qualitative,discrete-qualitative
GrandBudapest1,"['#F1BB7BFF', '#FD6467FF', '#5B1A18FF', '#D67236FF']",The R package: {wesanderson},qualitative,discrete-qualitative
GrandBudapest2,"['#E6A0C4FF', '#C6CDF7FF', '#D8A499FF', '#7294D4FF']",The R package: {wesanderson},qualitative,discrete-qualitative
GrandCanyon,"['#521E0FFF', '#9C593EFF', '#DDA569FF', '#3F4330FF', '#8E7E3CFF', '#2A4866FF', '#6592B0FF']",The R package: {NatParksPalettes},qualitative,discrete-qualitative
GrandTeton,"['#F0EEE2FF', '#5B6C88FF', '#48594EFF', '#A8D0CFFF', '#BABBB1FF']",The R package: {nationalparkcolors},qualitative,discrete-qualitative
GrantWood,"['#A6BDB0FF', '#8B842FFF', '#41240BFF', '#9C4823FF', '#D6AA7EFF']",The R package: {lisa},qualitative,discrete-qualitative
Gray,"['#000000FF', '#010101FF', '#020202FF', '#030303FF', '#040404FF', '#050505FF', '#060606FF', '#070707FF', '#080808FF', '#090909FF', '#0A0A0AFF', '#0B0B0BFF', '#0C0C0CFF', '#0D0D0DFF', '#0E0E0EFF', '#0F0F0FFF', '#101010FF', '#111111FF', '#121212FF', '#131313FF', '#141414FF', '#151515FF', '#161616FF', '#171717FF', '#181818FF', '#191919FF', '#1A1A1AFF', '#1B1B1BFF', '#1C1C1CFF', '#1D1D1DFF', '#1E1E1EFF', '#1F1F1FFF', '#202020FF', '#212121FF', '#222222FF', '#232323FF', '#242424FF', '#252525FF', '#262626FF', '#272727FF', '#282828FF', '#292929FF', '#2A2A2AFF', '#2B2B2BFF', '#2C2C2CFF', '#2D2D2DFF', '#2E2E2EFF', '#2F2F2FFF', '#303030FF', '#313131FF', '#323232FF', '#333333FF', '#343434FF', '#353535FF', '#363636FF', '#373737FF', '#383838FF', '#393939FF', '#3A3A3AFF', '#3B3B3BFF', '#3C3C3CFF', '#3D3D3DFF', '#3E3E3EFF', '#3F3F3FFF', '#404040FF', '#414141FF', '#424242FF', '#434343FF', '#444444FF', '#454545FF', '#464646FF', '#474747FF', '#484848FF', '#494949FF', '#4A4A4AFF', '#4B4B4BFF', '#4C4C4CFF', '#4D4D4DFF', '#4E4E4EFF', '#4F4F4FFF', '#505050FF', '#515151FF', '#525252FF', '#535353FF', '#545454FF', '#555555FF', '#565656FF', '#575757FF', '#585858FF', '#595959FF', '#5A5A5AFF', '#5B5B5BFF', '#5C5C5CFF', '#5D5D5DFF', '#5E5E5EFF', '#5F5F5FFF', '#606060FF', '#616161FF', '#626262FF', '#636363FF', '#646464FF', '#656565FF', '#666666FF', '#676767FF', '#686868FF', '#696969FF', '#6A6A6AFF', '#6B6B6BFF', '#6C6C6CFF', '#6D6D6DFF', '#6E6E6EFF', '#6F6F6FFF', '#707070FF', '#717171FF', '#727272FF', '#737373FF', '#747474FF', '#757575FF', '#767676FF', '#777777FF', '#787878FF', '#797979FF', '#7A7A7AFF', '#7B7B7BFF', '#7C7C7CFF', '#7D7D7DFF', '#7E7E7EFF', '#7F7F7FFF', '#808080FF', '#818181FF', '#828282FF', '#838383FF', '#848484FF', '#858585FF', '#868686FF', '#878787FF', '#888888FF', '#898989FF', '#8A8A8AFF', '#8B8B8BFF', '#8C8C8CFF', '#8D8D8DFF', '#8E8E8EFF', '#8F8F8FFF', '#909090FF', '#919191FF', '#929292FF', '#939393FF', '#949494FF', '#959595FF', '#969696FF', '#979797FF', '#989898FF', '#999999FF', '#9A9A9AFF', '#9B9B9BFF', '#9C9C9CFF', '#9D9D9DFF', '#9E9E9EFF', '#9F9F9FFF', '#A0A0A0FF', '#A1A1A1FF', '#A2A2A2FF', '#A3A3A3FF', '#A4A4A4FF', '#A5A5A5FF', '#A6A6A6FF', '#A7A7A7FF', '#A8A8A8FF', '#A9A9A9FF', '#AAAAAAFF', '#ABABABFF', '#ACACACFF', '#ADADADFF', '#AEAEAEFF', '#AFAFAFFF', '#B0B0B0FF', '#B1B1B1FF', '#B2B2B2FF', '#B3B3B3FF', '#B4B4B4FF', '#B5B5B5FF', '#B6B6B6FF', '#B7B7B7FF', '#B8B8B8FF', '#B9B9B9FF', '#BABABAFF', '#BBBBBBFF', '#BCBCBCFF', '#BDBDBDFF', '#BEBEBEFF', '#BFBFBFFF', '#C0C0C0FF', '#C1C1C1FF', '#C2C2C2FF', '#C3C3C3FF', '#C4C4C4FF', '#C5C5C5FF', '#C6C6C6FF', '#C7C7C7FF', '#C8C8C8FF', '#C9C9C9FF', '#CACACAFF', '#CBCBCBFF', '#CCCCCCFF', '#CDCDCDFF', '#CECECEFF', '#CFCFCFFF', '#D0D0D0FF', '#D1D1D1FF', '#D2D2D2FF', '#D3D3D3FF', '#D4D4D4FF', '#D5D5D5FF', '#D6D6D6FF', '#D7D7D7FF', '#D8D8D8FF', '#D9D9D9FF', '#DADADAFF', '#DBDBDBFF', '#DCDCDCFF', '#DDDDDDFF', '#DEDEDEFF', '#DFDFDFFF', '#E0E0E0FF', '#E1E1E1FF', '#E2E2E2FF', '#E3E3E3FF', '#E4E4E4FF', '#E5E5E5FF', '#E6E6E6FF', '#E7E7E7FF', '#E8E8E8FF', '#E9E9E9FF', '#EAEAEAFF', '#EBEBEBFF', '#ECECECFF', '#EDEDEDFF', '#EEEEEEFF', '#EFEFEFFF', '#F0F0F0FF', '#F1F1F1FF', '#F2F2F2FF', '#F3F3F3FF', '#F4F4F4FF', '#F5F5F5FF', '#F6F6F6FF', '#F7F7F7FF', '#F8F8F8FF', '#F9F9F9FF', '#FAFAFAFF', '#FBFBFBFF', '#FCFCFCFF', '#FDFDFDFF', '#FEFEFEFF', '#FFFFFFFF']",The R package: {palettesForR},sequential,discrete-sequential
Gray Warm,"['#DCD4D0FF', '#DAD2CEFF', '#D9D1CDFF', '#D7CFCBFF', '#D6CECAFF', '#D4CCC8FF', '#D3CBC7FF', '#D2C9C5FF', '#D0C8C4FF', '#CFC6C2FF', '#CEC5C1FF', '#CCC3BFFF', '#CBC2BEFF', '#C9C1BDFF', '#C7BFBBFF', '#C6BEBAFF', '#C5BDB9FF', '#C3BBB7FF', '#C2BAB6FF', '#C0B8B4FF', '#BFB7B3FF', '#BEB6B2FF', '#BCB4B0FF', '#BBB3AFFF', '#BAB2AEFF', '#B8B0ACFF', '#B7AFABFF', '#B79EAAFF', '#B78BA9FF', '#B678A8FF', '#B464A6FF', '#B14DA4FF', '#B056A3FF', '#B069A2FF', '#AF79A1FF', '#AD899FFF', '#AB999EFF', '#A89F9CFF', '#A79E9BFF', '#A69D9AFF', '#A49B98FF', '#A39A97FF', '#A29996FF', '#A09794FF', '#9F9693FF', '#9E9592FF', '#9C9490FF', '#9B938FFF', '#9A928EFF', '#98908CFF', '#978F8BFF', '#958D89FF', '#948C88FF', '#938B87FF', '#918985FF', '#908884FF', '#8F8683FF', '#8D8481FF', '#8C8380FF', '#8B827FFF', '#89817EFF', '#88807DFF', '#877F7CFF', '#857D7AFF', '#847C79FF', '#837B78FF', '#827976FF', '#817875FF', '#807774FF', '#7E7573FF', '#7D7471FF', '#7C7370FF', '#7A716FFF', '#79706EFF', '#786F6DFF', '#776D6BFF', '#756C6AFF', '#746B69FF', '#736967FF', '#726866FF', '#716765FF', '#6F6563FF', '#6E6462FF', '#6C6260FF', '#6B615EFF', '#6A605BFF', '#695F58FF', '#685E56FF', '#675D53FF', '#655C51FF', '#645A52FF', '#635952FF', '#615853FF', '#605754FF', '#5F5654FF', '#5E5553FF', '#5C5351FF', '#5B5250FF', '#5A514FFF', '#59504EFF']",The R package: {ggthemes},sequential-1,discrete-sequential
GrayViolet,"['#000000FF', '#000000FF', '#040404FF', '#040404FF', '#080808FF', '#080808FF', '#0C0C0CFF', '#0C0C0CFF', '#101010FF', '#101010FF', '#141414FF', '#141414FF', '#141818FF', '#181818FF', '#181C1CFF', '#1C1C1CFF', '#1C2020FF', '#202020FF', '#202024FF', '#242424FF', '#242428FF', '#282828FF', '#28282CFF', '#282C2CFF', '#2C2C30FF', '#2C3030FF', '#303034FF', '#303434FF', '#343438FF', '#343838FF', '#38383CFF', '#383C3CFF', '#383C40FF', '#3C4040FF', '#3C4044FF', '#404044FF', '#404448FF', '#444448FF', '#44484CFF', '#48484CFF', '#484C50FF', '#4C4C50FF', '#4C5054FF', '#4C5054FF', '#505458FF', '#505458FF', '#54585CFF', '#54585CFF', '#585C60FF', '#585C60FF', '#5C6064FF', '#5C6064FF', '#606068FF', '#606468FF', '#60646CFF', '#64686CFF', '#646870FF', '#686C70FF', '#686C74FF', '#6C7074FF', '#6C7078FF', '#707478FF', '#70747CFF', '#74787CFF', '#747880FF', '#747C80FF', '#787C84FF', '#787C84FF', '#7C8088FF', '#7C8088FF', '#80848CFF', '#80848CFF', '#848890FF', '#848890FF', '#888C94FF', '#888C94FF', '#889098FF', '#8C9098FF', '#8C949CFF', '#90949CFF', '#9098A0FF', '#9498A0FF', '#949CA4FF', '#989CA4FF', '#989CA8FF', '#9CA0A8FF', '#9CA0ACFF', '#9CA4ACFF', '#A0A4B0FF', '#A0A8B0FF', '#A4A8B4FF', '#A4ACB4FF', '#A8ACB8FF', '#A8B0B8FF', '#ACB0BCFF', '#ACB4BCFF', '#ACB4C0FF', '#B0B8C0FF', '#B0B8C4FF', '#B4BCC4FF', '#B4BCC8FF', '#B8BCC8FF', '#B8C0CCFF', '#BCC0CCFF', '#BCC4D0FF', '#C0C4D0FF', '#C0C8D4FF', '#C0C8D4FF', '#C4CCD8FF', '#C4CCD8FF', '#C8D0DCFF', '#C8D0DCFF', '#CCD4E0FF', '#CCD4E0FF', '#D0D8E4FF', '#D0D8E4FF', '#D4DCE8FF', '#D4DCE8FF', '#F0F0FCFF', '#E4E8F4FF', '#F0F0FCFF', '#E0E8F4FF', '#ECECF8FF', '#DCE4F0FF', '#E8ECF8FF', '#DCE4ECFF', '#E4E8F4FF', '#D8E0ECFF', '#E0E8F4FF', '#D4DCE8FF', '#DCE4F0FF', '#D0DCE8FF', '#DCE4ECFF', '#CCD8E4FF', '#D8E0ECFF', '#C8D8E0FF', '#D4DCE8FF', '#C8D4E0FF', '#D0DCE8FF', '#C4D4DCFF', '#CCD8E4FF', '#C0D0DCFF', '#C8D8E0FF', '#BCD0D8FF', '#C8D4E0FF', '#B4CCD8FF', '#C4D4DCFF', '#BCD0D8FF', '#C4D4DCFF', '#B8CCD4FF', '#C0D0D8FF', '#B4C8D0FF', '#BCD0D8FF', '#B4C8D0FF', '#B8CCD4FF', '#B4C4CCFF', '#B4C8D0FF', '#B0C0C8FF', '#B4C8D0FF', '#B0BCC4FF', '#B4C4CCFF', '#ACB8C0FF', '#B0C0C8FF', '#ACB4C0FF', '#B0BCC4FF', '#A8B0BCFF', '#ACB8C0FF', '#A8ACB8FF', '#ACB4C0FF', '#A4A8B4FF', '#A8B0BCFF', '#A4A4B0FF', '#A8ACB8FF', '#A0A0B0FF', '#A4A8B4FF', '#A09CACFF', '#A4A4B0FF', '#9C98A8FF', '#A0A0B0FF', '#9C94A4FF', '#A09CACFF', '#9890A0FF', '#9C98A8FF', '#988CA0FF', '#9C94A4FF', '#94889CFF', '#9890A0FF', '#948498FF', '#988CA0FF', '#908094FF', '#94889CFF', '#907C90FF', '#948498FF', '#8C7890FF', '#908094FF', '#8C748CFF', '#907C90FF', '#887088FF', '#8C7890FF', '#886C84FF', '#8C748CFF', '#846880FF', '#887088FF', '#84647CFF', '#886C84FF', '#80607CFF', '#846880FF', '#805C78FF', '#84647CFF', '#7C5874FF', '#80607CFF', '#7C5470FF', '#805C78FF', '#78506CFF', '#7C5874FF', '#784C6CFF', '#7C5470FF', '#744868FF', '#78506CFF', '#744464FF', '#784C6CFF', '#704060FF', '#744868FF', '#703C5CFF', '#744464FF', '#6C385CFF', '#704060FF', '#6C3458FF', '#703C5CFF', '#683054FF', '#6C385CFF', '#682C50FF', '#6C3458FF', '#64284CFF', '#683054FF', '#64244CFF', '#682C50FF', '#602048FF', '#64284CFF', '#601C44FF', '#64244CFF', '#5C1840FF', '#602048FF', '#601C44FF', '#4C183CFF', '#5C1840FF', '#381C34FF', '#4C183CFF', '#301C30FF', '#381C34FF', '#1C2028FF', '#241C2CFF', '#082420FF', '#142024FF', '#101818FF', '#080C0CFF']",The R package: {palettesForR},diverging,discrete-diverging
Grayblue,"['#7CA480FF', '#7CA480FF', '#7CA47CFF', '#7CA07CFF', '#7CA07CFF', '#78A07CFF', '#78A07CFF', '#789C7CFF', '#789C7CFF', '#789C78FF', '#749C78FF', '#749878FF', '#749878FF', '#749878FF', '#749878FF', '#709474FF', '#709474FF', '#709474FF', '#709474FF', '#709074FF', '#6C9074FF', '#6C9070FF', '#6C9070FF', '#6C8C70FF', '#6C8C70FF', '#688C70FF', '#688C70FF', '#68886CFF', '#68886CFF', '#64886CFF', '#64886CFF', '#64846CFF', '#64846CFF', '#648468FF', '#608468FF', '#608068FF', '#608068FF', '#608068FF', '#608068FF', '#5C7C64FF', '#5C7C64FF', '#5C7C64FF', '#5C7C64FF', '#5C7864FF', '#587864FF', '#587860FF', '#587860FF', '#587460FF', '#587460FF', '#547460FF', '#547460FF', '#547060FF', '#54705CFF', '#50705CFF', '#50705CFF', '#506C5CFF', '#506C5CFF', '#506C5CFF', '#4C6C58FF', '#4C6858FF', '#4C6858FF', '#4C6858FF', '#4C6458FF', '#486458FF', '#486454FF', '#486454FF', '#486054FF', '#486054FF', '#446054FF', '#446054FF', '#445C50FF', '#445C50FF', '#445C50FF', '#405C50FF', '#405850FF', '#405850FF', '#40584CFF', '#3C584CFF', '#3C544CFF', '#3C544CFF', '#3C544CFF', '#3C544CFF', '#385048FF', '#385048FF', '#385048FF', '#385048FF', '#384C48FF', '#344C48FF', '#344C48FF', '#344C44FF', '#344844FF', '#344844FF', '#304844FF', '#304844FF', '#304444FF', '#304440FF', '#304440FF', '#2C4440FF', '#2C4040FF', '#2C4040FF', '#2C4040FF', '#28403CFF', '#283C3CFF', '#283C3CFF', '#283C3CFF', '#283C3CFF', '#24383CFF', '#243838FF', '#243838FF', '#243838FF', '#243438FF', '#203438FF', '#203438FF', '#203434FF', '#203034FF', '#203034FF', '#1C3034FF', '#1C3034FF', '#1C2C34FF', '#1C2C30FF', '#1C2C30FF', '#182C30FF', '#182830FF', '#182830FF', '#182830FF', '#14242CFF', '#182830FF', '#182830FF', '#182830FF', '#182830FF', '#182834FF', '#182834FF', '#182834FF', '#1C2C34FF', '#1C2C38FF', '#1C2C38FF', '#1C2C38FF', '#1C2C38FF', '#1C2C38FF', '#1C2C3CFF', '#1C303CFF', '#20303CFF', '#20303CFF', '#203040FF', '#203040FF', '#203040FF', '#203040FF', '#203440FF', '#243444FF', '#243444FF', '#243444FF', '#243444FF', '#243448FF', '#243448FF', '#243448FF', '#243848FF', '#283848FF', '#28384CFF', '#28384CFF', '#28384CFF', '#28384CFF', '#283850FF', '#283C50FF', '#2C3C50FF', '#2C3C50FF', '#2C3C50FF', '#2C3C54FF', '#2C3C54FF', '#2C3C54FF', '#2C4054FF', '#2C4058FF', '#304058FF', '#304058FF', '#304058FF', '#304058FF', '#30405CFF', '#30405CFF', '#30445CFF', '#30445CFF', '#344460FF', '#344460FF', '#344460FF', '#344460FF', '#344460FF', '#344864FF', '#344864FF', '#384864FF', '#384864FF', '#384868FF', '#384868FF', '#384868FF', '#384C68FF', '#384C68FF', '#384C6CFF', '#3C4C6CFF', '#3C4C6CFF', '#3C4C6CFF', '#3C4C70FF', '#3C5070FF', '#3C5070FF', '#3C5070FF', '#405070FF', '#405074FF', '#405074FF', '#405074FF', '#405074FF', '#405478FF', '#405478FF', '#405478FF', '#445478FF', '#445478FF', '#44547CFF', '#44547CFF', '#44587CFF', '#44587CFF', '#445880FF', '#485880FF', '#485880FF', '#485880FF', '#485880FF', '#485C84FF', '#485C84FF', '#485C84FF', '#485C84FF', '#4C5C88FF', '#4C5C88FF', '#4C5C88FF', '#4C5C88FF', '#4C608CFF', '#4C608CFF', '#4C608CFF', '#4C608CFF', '#50608CFF', '#506090FF', '#506090FF', '#506490FF', '#506490FF', '#506494FF', '#506494FF', '#546494FF', '#546494FF', '#546494FF', '#546898FF', '#546898FF', '#546898FF', '#546898FF', '#54689CFF', '#58689CFF', '#58689CFF', '#58689CFF', '#586C9CFF', '#586CA0FF', '#586CA0FF', '#586CA0FF', '#5C6CA0FF', '#5C6CA4FF']",The R package: {palettesForR},diverging,discrete-diverging
Grays,"['#ffffff', '#ffffff', '#fefefe', '#fefefe', '#fdfdfd', '#fdfdfd', '#fcfcfc', '#fcfcfc', '#fbfbfb', '#fbfbfb', '#fafafa', '#fafafa', '#f9f9f9', '#f9f9f9', '#f8f8f8', '#f8f8f8', '#f7f7f7', '#f7f7f7', '#f7f7f7', '#f6f6f6', '#f6f6f6', '#f5f5f5', '#f5f5f5', '#f4f4f4', '#f4f4f4', '#f3f3f3', '#f3f3f3', '#f2f2f2', '#f2f2f2', '#f1f1f1', '#f1f1f1', '#f0f0f0', '#f0f0f0', '#efefef', '#eeeeee', '#eeeeee', '#ededed', '#ececec', '#ececec', '#ebebeb', '#eaeaea', '#e9e9e9', '#e9e9e9', '#e8e8e8', '#e7e7e7', '#e7e7e7', '#e6e6e6', '#e5e5e5', '#e4e4e4', '#e4e4e4', '#e3e3e3', '#e2e2e2', '#e1e1e1', '#e1e1e1', '#e0e0e0', '#dfdfdf', '#dfdfdf', '#dedede', '#dddddd', '#dcdcdc', '#dcdcdc', '#dbdbdb', '#dadada', '#dadada', '#d9d9d9', '#d8d8d8', '#d7d7d7', '#d6d6d6', '#d5d5d5', '#d4d4d4', '#d4d4d4', '#d3d3d3', '#d2d2d2', '#d1d1d1', '#d0d0d0', '#cfcfcf', '#cecece', '#cdcdcd', '#cccccc', '#cccccc', '#cbcbcb', '#cacaca', '#c9c9c9', '#c8c8c8', '#c7c7c7', '#c6c6c6', '#c5c5c5', '#c5c5c5', '#c4c4c4', '#c3c3c3', '#c2c2c2', '#c1c1c1', '#c0c0c0', '#bfbfbf', '#bebebe', '#bebebe', '#bdbdbd', '#bbbbbb', '#bababa', '#b9b9b9', '#b8b8b8', '#b6b6b6', '#b5b5b5', '#b4b4b4', '#b3b3b3', '#b2b2b2', '#b0b0b0', '#afafaf', '#aeaeae', '#adadad', '#ababab', '#aaaaaa', '#a9a9a9', '#a8a8a8', '#a7a7a7', '#a5a5a5', '#a4a4a4', '#a3a3a3', '#a2a2a2', '#a0a0a0', '#9f9f9f', '#9e9e9e', '#9d9d9d', '#9c9c9c', '#9a9a9a', '#999999', '#989898', '#979797', '#959595', '#949494', '#939393', '#929292', '#919191', '#909090', '#8f8f8f', '#8e8e8e', '#8d8d8d', '#8c8c8c', '#8a8a8a', '#898989', '#888888', '#878787', '#868686', '#858585', '#848484', '#838383', '#828282', '#818181', '#7f7f7f', '#7e7e7e', '#7d7d7d', '#7c7c7c', '#7b7b7b', '#7a7a7a', '#797979', '#787878', '#777777', '#767676', '#757575', '#737373', '#727272', '#717171', '#707070', '#6f6f6f', '#6e6e6e', '#6d6d6d', '#6c6c6c', '#6b6b6b', '#6a6a6a', '#696969', '#686868', '#676767', '#666666', '#656565', '#646464', '#636363', '#626262', '#616161', '#606060', '#5f5f5f', '#5e5e5e', '#5d5d5d', '#5c5c5c', '#5b5b5b', '#5a5a5a', '#585858', '#575757', '#565656', '#555555', '#545454', '#535353', '#525252', '#515151', '#505050', '#4e4e4e', '#4d4d4d', '#4b4b4b', '#4a4a4a', '#484848', '#474747', '#464646', '#444444', '#434343', '#414141', '#404040', '#3f3f3f', '#3d3d3d', '#3c3c3c', '#3a3a3a', '#393939', '#383838', '#363636', '#353535', '#333333', '#323232', '#303030', '#2f2f2f', '#2e2e2e', '#2c2c2c', '#2b2b2b', '#292929', '#282828', '#272727', '#252525', '#242424', '#232323', '#222222', '#212121', '#1f1f1f', '#1e1e1e', '#1d1d1d', '#1c1c1c', '#1b1b1b', '#1a1a1a', '#181818', '#171717', '#161616', '#151515', '#141414', '#131313', '#111111', '#101010', '#0f0f0f', '#0e0e0e', '#0d0d0d', '#0c0c0c', '#0a0a0a', '#090909', '#080808', '#070707', '#060606', '#050505', '#030303', '#020202', '#010101', '#000000']",matplotlib/seaborn builtin,unknown,unknown
GreatBasin,"['#6BBAE5FF', '#E3EEF4FF', '#454B68FF', '#F9F5EAFF', '#81974CFF', '#553F31FF']",The R package: {nationalparkcolors},qualitative,discrete-qualitative
Greek,"['#3C0D03FF', '#8D1C06FF', '#E67424FF', '#ED9B49FF', '#F5C34DFF']",The R package: {MetBrewer},qualitative,discrete-qualitative
Green,"['#B3E0A6FF', '#B0DFA3FF', '#AEDEA0FF', '#ABDD9DFF', '#A8DC9AFF', '#A6DB97FF', '#A3DA94FF', '#A1D991FF', '#9ED88EFF', '#9CD78BFF', '#99D688FF', '#97D586FF', '#95D485FF', '#93D383FF', '#91D282FF', '#8FD180FF', '#8DD07EFF', '#8CCE7DFF', '#8ACD7BFF', '#88CC7AFF', '#86CB78FF', '#85CA77FF', '#83C875FF', '#82C774FF', '#80C673FF', '#7FC471FF', '#7DC370FF', '#7CC26FFF', '#7AC06DFF', '#78BF6CFF', '#77BE6BFF', '#75BC69FF', '#74BB68FF', '#73BA67FF', '#71B966FF', '#70B865FF', '#6FB764FF', '#6DB562FF', '#6CB461FF', '#6BB360FF', '#69B15EFF', '#68B05DFF', '#67AF5CFF', '#65AD5AFF', '#64AC59FF', '#63AB58FF', '#62AA57FF', '#61A956FF', '#5FA855FF', '#5EA655FF', '#5CA554FF', '#5BA354FF', '#59A253FF', '#58A153FF', '#56A052FF', '#559F52FF', '#539E52FF', '#519C51FF', '#509B51FF', '#4E9A50FF', '#4D9950FF', '#4B9850FF', '#4A974FFF', '#48954FFF', '#47944EFF', '#46934EFF', '#44914EFF', '#43904DFF', '#428F4DFF', '#408E4CFF', '#3E8C4BFF', '#3C8B4AFF', '#3B8A4AFF', '#398949FF', '#378848FF', '#368747FF', '#348546FF', '#328445FF', '#308344FF', '#2F8243FF', '#2E8143FF', '#2D7F42FF', '#2C7E41FF', '#2B7C40FF', '#2B7B40FF', '#2A7A3FFF', '#29793EFF', '#28783EFF', '#27773DFF', '#27753DFF', '#26743DFF', '#26733DFF', '#26713DFF', '#25703DFF', '#256F3DFF', '#256E3DFF', '#256C3DFF', '#246B3DFF', '#246A3DFF', '#24693DFF']",The R package: {ggthemes},sequential-1,discrete-sequential
