name,palette,source,kind,paletteer-kind
Antique,"['#855C75FF', '#D9AF6BFF', '#AF6458FF', '#736F4CFF', '#526A83FF', '#625377FF', '#68855CFF', '#9C9C5EFF', '#A06177FF', '#8C785DFF', '#467378FF', '#7C7C7CFF']",The R package: {rcartocolor},qualitative,discrete-qualitative
Apricot,"['#D72000FF', '#EE6100FF', '#FFAD0AFF', '#1BB6AFFF', '#9093A2FF', '#132157FF']",The R package: {LaCroixColoR},qualitative,discrete-qualitative
Aquamarine,"['#7FF9F7FF', '#0B2483FF', '#0F8CDEFF', '#4C4CFFFF', '#040509FF', '#23B4DCFF', '#3C7084FF']",The R package: {tvthemes},qualitative,discrete-qualitative
Archambault,"['#88A0DCFF', '#381A61FF', '#7C4B73FF', '#ED968CFF', '#AB3329FF', '#E78429FF', '#F9D14AFF']",The R package: {MetBrewer},qualitative,discrete-qualitative
Arches,"['#A8CDECFF', '#F6955EFF', '#682C37FF', '#9B6981FF', '#7887A4FF', '#A89F8EFF']",The R package: {nationalparkcolors},qualitative,discrete-qualitative
Arches2,"['#3A1F46FF', '#7F4B89FF', '#B46DB3FF', '#E3A5D6FF', '#F3DAE4FF']",The R package: {NatParksPalettes},qualitative,discrete-qualitative
ArcticGates,"['#F4E7C5FF', '#678096FF', '#ACC2CFFF', '#979461FF', '#CD5733FF', '#A12A19FF']",The R package: {nationalparkcolors},qualitative,discrete-qualitative
ArmyRose,"['#798234FF', '#A3AD62FF', '#D0D3A2FF', '#FDFBE4FF', '#F0C6C3FF', '#DF91A3FF', '#D46780FF']",The R package: {rcartocolor},diverging,discrete-diverging
Arryn,"['#007FFFFF', '#7FBFFFFF', '#001933FF', '#4C4CFFFF', '#FFEFB2FF', '#A89797FF', '#FFFFFFFF']",The R package: {tvthemes},qualitative,discrete-qualitative
AsteroidCity1,"['#0A9F9DFF', '#CEB175FF', '#E54E21FF', '#6C8645FF', '#C18748FF']",The R package: {wesanderson},qualitative,discrete-qualitative
AsteroidCity2,"['#C52E19FF', '#AC9765FF', '#54D8B1FF', '#B67C3BFF', '#175149FF', '#AF4E24FF']",The R package: {wesanderson},qualitative,discrete-qualitative
AsteroidCity3,"['#FBA72AFF', '#D3D4D8FF', '#CB7A5CFF', '#5785C1FF']",The R package: {wesanderson},qualitative,discrete-qualitative
Atentado,"['#171E15FF', '#32373AFF', '#5E5752FF', '#9F9994FF', '#CCC2B5FF', '#E8CFABFF', '#F5BC5CFF', '#E2853AFF', '#CC4C24FF', '#3F1606FF']",The R package: {MexBrewer},qualitative,discrete-qualitative
Atherinella_brasiliensis,"['#677381FF', '#917249FF', '#B1A5A0FF', '#BFB4ACFF', '#E7E2DAFF']",The R package: {fishualize},qualitative,discrete-qualitative
Aulostomus_chinensis,"['#6A150EFF', '#DB8165FF', '#F1E201FF', '#747B4EFF', '#0A0203FF']",The R package: {fishualize},qualitative,discrete-qualitative
Aurora,"['#E7C7A8FF', '#C29786FF', '#874D4AFF', '#5F2F2DFF', '#3B141AFF', '#331718FF', '#27170BFF']",The R package: {MexBrewer},sequential,discrete-sequential
Austria,"['#A40000FF', '#16317DFF', '#007E2FFF', '#FFCD12FF', '#B86092FF', '#721B3EFF', '#00B7A7FF']",The R package: {MetBrewer},qualitative,discrete-qualitative
Autumn,"['#774762FF', '#BA6E1DFF', '#D6BB3BFF', '#755028FF', '#F2DD78FF', '#205F4BFF', '#913914FF', '#585854FF', '#F0A430FF', '#768048FF', '#800000FF', '#1B3A54FF']",The R package: {PrettyCols},qualitative,discrete-qualitative
Avedon,"['#FF7200FF', '#FF8827FF', '#FF9C4CFF', '#FFB274FF', '#F1CAA8FF', '#E3E1DCFF', '#C2CEAAFF', '#A1BA77FF', '#8BAC54FF', '#7EA13EFF', '#648C16FF']",The R package: {MoMAColors},diverging,discrete-diverging
Badlands,"['#5495CFFF', '#F5AF4DFF', '#DB4743FF', '#7C873EFF', '#FEF4D5FF']",The R package: {nationalparkcolors},qualitative,discrete-qualitative
Balistapus_undulatus,"['#E27B0CFF', '#FED105FF', '#6CA167FF', '#145A76FF', '#1E1719FF']",The R package: {fishualize},qualitative,discrete-qualitative
Balistes_vetula,"['#0086DAFF', '#0468BFFF', '#009BECFF', '#A29641FF', '#9E8430FF']",The R package: {fishualize},qualitative,discrete-qualitative
Balistoides_conspicillum,"['#CE9E01FF', '#F0EB00FF', '#93AC38FF', '#5CA0B4FF', '#06101BFF']",The R package: {fishualize},qualitative,discrete-qualitative
Banff,"['#006475FF', '#00A1B7FF', '#55CFD8FF', '#586028FF', '#898928FF', '#616571FF', '#9DA7BFFF']",The R package: {NatParksPalettes},qualitative,discrete-qualitative
Barbus_barbus,"['#6B472CFF', '#8D4F20FF', '#CA925BFF', '#CFC99FFF', '#89AAC6FF']",The R package: {fishualize},qualitative,discrete-qualitative
BarnettNewman,"['#442327FF', '#C0BC98FF', '#A6885DFF', '#8A3230FF', '#973B2BFF']",The R package: {lisa},qualitative,discrete-qualitative
